StartDate,EndDate,Q2.1,Q2.8,Q2.14,Q117.2,Q117.3,Q117.4,Q117.5,Q117.6,Q118.3,Q118.4,Q118.1_Page Submit,Q120.3,Q120.4,Q120.5,Q120.6,Q120.7,Q120.8,Q120.9,Q120.10,Q120.11,Q120.12,Q120.13,Q120.14,Q120.15,Q120.16,Q120.17,Q120.18,Q121.1,Q122.2,Q122.3,Q124.2,Q124.3,Q124.4,Q124.5,Q124.6,Q125.1_Page Submit,Q125.3,Q125.4,Q127.3,Q127.4,Q127.5,Q127.6,Q127.7,Q127.8,Q127.9,Q127.10,Q127.11,Q127.12,Q127.13,Q127.14,Q127.15,Q127.16,Q127.17,Q127.18,Q128.1,Q129.2,Q129.3,Q131.2,Q131.3,Q131.4,Q131.5,Q131.6,Q132.1_Page Submit,Q132.3,Q132.4,Q134.3,Q134.4,Q134.5,Q134.6,Q134.7,Q134.8,Q134.9,Q134.10,Q134.11,Q134.12,Q134.13,Q134.14,Q134.15,Q134.16,Q134.17,Q134.18,Q135.1,Q136.2,Q136.3,Q138.2,Q138.3,Q138.4,Q138.5,Q138.6,Q139.1_Page Submit,Q139.3,Q139.4,Q141.3,Q141.4,Q141.5,Q141.6,Q141.7,Q141.8,Q141.9,Q141.10,Q141.11,Q141.12,Q141.13,Q141.14,Q141.15,Q141.16,Q141.17,Q141.18,Q142.1,Q143.2,Q143.3,Q144.1,Q144.2
3/31/2021 20:37,3/31/2021 21:34,1995,Other,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspicuous,They modified their behavior in response to changes in their environment.,offer interpretive context in order to frame the discussion of an experiment and its results. ,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,130.119,5,"line, firecracker, handle, food, eye",85,91,27,37,70,29,88,10,99,30,2,99,44,50,5,35,,IM_728fjwfYvqAc1Yq,C,,
3/31/2021 20:34,3/31/2021 21:38,1993,Other,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They manufactured useful tools for finding and accessing food.,offer historical background in order to question the uniqueness of two researchers’ findings.,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,130.239,10,"circles, rocket, line",85,95,27,37,97,34,45,10,99,20,2,99,17,50,5,35,,IM_afMcuvNF6jPFgWO,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:33,3/31/2021 21:41,1978,Undergraduate Student,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Fairly Easy
3/31/2021 20:32,3/31/2021 21:41,2000,Other,Some college,edible,They modified their behavior in response to changes in their environment. ,offer interpretive context in order to frame the discussion of an experiment and its results. ,The crow is thought to be an animal with intelligence equal to or greater than the human,intentionally made the birds aware of his presence.,7,"dot,  eye, tongue, pencil, ",130.015,85,91,37,31,70,15,92,10,99,20,2,99,15,50,5,47,,IM_7NHi0wWD3VcBw7s,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:36,3/31/2021 21:41,1984,Other,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Neither Easy nor Difficult
3/31/2021 20:31,3/31/2021 21:47,1990,Undergraduate Student,Bachelor's degree,plentiful,They manufactured useful tools for finding and accessing food.,introduce a scientific principle in order to show how an experiment’s outcomes validated that principle.,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,5,"rocket,pot",130.31,85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_7NHi0wWD3VcBw7s,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:42,3/31/2021 21:58,1997,Other,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspicuous,They modified their behavior in response to changes in their environment.,offer interpretive context in order to frame the discussion of an experiment and its results.,The crow is thought to be an animal with intelligence equal to or greater than the human,tested the birds’ tool-using abilities.,325.455,13,figures,85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_0P8tQUyblY1MVhQ,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:37,3/31/2021 21:59,1992,Other,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They modified their behavior in response to changes in their environment.,present seemingly contradictory stances in order to show how they can be reconciled empirically.,The crow is thought to be an animal with intelligence equal to or greater than the human,consciously manipulated the birds’ surroundings.,130.031,8,"Mouth, Rocket, Scales, bellybutton, scales, scales",85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_9HnQo5uJBzD9dX0,C,,
3/31/2021 20:53,3/31/2021 22:07,1974,Other,Some college,edible,They modified their behavior in response to changes in their environment. ,present seemingly contradictory stances in order to show how they can be reconciled empirically.,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,4,"rocket, lizard togue, eye, round reflection on g",130.094,85,91,27,37,70,29,87,10,99,20,2,99,42,50,5,35,,IM_7NHi0wWD3VcBw7s,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:31,3/31/2021 22:09,1993,Other,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They manufactured useful tools for finding and accessing food.,offer interpretive context in order to frame the discussion of an experiment and its results.,The crow is thought to be an animal with intelligence equal to or greater than the human,consciously manipulated the birds’ surroundings.,65.112,8,"squares,camaleo",85,91,27,37,70,29,87,10,90,20,2,99,43,50,5,30,,IM_6h8OjDCdJa8N7H8,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 21:08,3/31/2021 22:21,1990,Other,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They modified their behavior in response to changes in their environment.,introduce a scientific principle in order to show how an experiment’s outcomes validated that principle.,"The author's scintillating use of the word ""conspicuous"" in passage 2 suggests the Ravens' recalcitrant nature",intentionally made the birds aware of his presence.,195.221,10,markings,85,91,27,37,70,22,54,10,99,5,2,99,43,5,5,5,,IM_0iT2386VNKuJ99Y,C,,
3/31/2021 21:20,3/31/2021 22:24,1982,Other,Bachelor's degree,edible,They modified their behavior in response to changes in their environment. ,offer interpretive context in order to frame the discussion of an experiment and its results. ,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,2,"light bulb, lizard tongue",65.009,85,91,27,37,70,29,87,10,99,20,5,99,40,50,5,35,,IM_7NHi0wWD3VcBw7s,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:31,3/31/2021 22:27,1984,Other,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They modified their behavior in response to changes in their environment. ,offer interpretive context in order to frame the discussion of an experiment and its results.,The figurative language employed by these scientists implies a fundamentally riveting reading,intentionally made the birds aware of his presence.,195.387,1,Can't see picture,85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_6mUdTl4QvbjaemW,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 21:26,3/31/2021 22:33,1996,Staff,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plentiful,They ignored the actions they saw performed around them.,offer historical background in order to question the uniqueness of two researchers’ findings.,Zoologist Sara Shettleworth has knowledge about the intelligence of animals that proves Researcher Russel Gray wrong,presented the birds with a problem to solve.,130.334,4,"marks, plus mark.",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,IM_728fjwfYvqAc1Yq,C,,
3/31/2021 20:33,3/31/2021 22:35,1989,Graduate Student,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Fairly Easy
3/31/2021 21:44,3/31/2021 22:48,2000,Undergraduate Student,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Fairly Easy
3/31/2021 22:19,3/31/2021 22:59,1993,Staff,Bachelor's degree,plentiful,They ignored the actions they saw performed around them.,present seemingly contradictory stances in order to show how they can be reconciled empirically.,"The author's scintillating use of the word ""conspicuous"" in passage 2 suggests the Ravens' recalcitrant nature",tested the birds’ tool-using abilities.,7,"eye, sneeze effect , lizard Tung ,rocket,",130.111,85,95,27,37,70,29,87,10,99,20,2,99,43,50,3,35,,IM_7NHi0wWD3VcBw7s,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 22:18,3/31/2021 23:04,1998,Graduate Student,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Very Easy
3/31/2021 21:54,3/31/2021 23:12,1996,Undergraduate Student,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They manufactured useful tools for finding and accessing food.,introduce a scientific principle in order to show how an experiment’s outcomes validated that principle.,The crow is thought to be an animal with intelligence equal to or greater than the human,consciously manipulated the birds’ surroundings.,130.027,2,"line, hut-like figure",87,99,28,91,70,5,2,87,77,70,2,5,21,28,90,35,,IM_0P8tQUyblY1MVhQ,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 21:42,3/31/2021 23:17,1975,Other,Some college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They modified their behavior in response to changes in their environment.,present seemingly contradictory stances in order to show how they can be reconciled empirically.,The figurative language employed by these scientists implies a fundamentally riveting reading,intentionally made the birds aware of his presence.,130.12,10,"heart, arrow, tongue, star,",85,91,29,87,99,20,2,99,43,2,27,85,95,5,85,90,,IM_0iT2386VNKuJ99Y,C,,
3/31/2021 22:30,3/31/2021 23:17,1996,Graduate Student,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,natural,They modified their behavior in response to changes in their environment. ,offer interpretive context in order to frame the discussion of an experiment and its results.,The figurative language employed by these scientists implies a fundamentally riveting reading,consciously manipulated the birds’ surroundings.,65.011,5,book,85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_afMcuvNF6jPFgWO,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 20:32,3/31/2021 23:24,1978,Other,"Advanced degree (Master's, Doctorate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,edible,They modified their behavior in response to changes in their environment.,present seemingly contradictory stances in order to show how they can be reconciled empirically.,"The author's scintillating use of the word ""conspicuous"" in passage 2 suggests the Ravens' recalcitrant nature",tested the birds’ tool-using abilities.,130.122,12,hidden,85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_4GYXrNOGQDOfw7c,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 21:39,3/31/2021 23:50,54,Other,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspicuous,They manufactured useful tools for finding and accessing food.,offer historical background in order to question the uniqueness of two researchers’ findings.,"The author's scintillating use of the word ""conspicuous"" in passage 2 suggests the Ravens' recalcitrant nature",consciously manipulated the birds’ surroundings.,130.064,10,"clock , needle, animal, head",85,91,27,37,70,29,87,10,99,20,2,99,43,50,5,35,,IM_6h8OjDCdJa8N7H8,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2021 21:42,3/31/2021 23:54,1990,Graduate Student,Bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just the right amount of time given,Very Easy
3/31/2021 23:20,4/1/2021 0:19,1989,Other,No college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conspicuous,They modified their behavior in response to changes in their environment. ,introduce a scientific principle in order to show how an experiment’s outcomes validated that principle.,The crow is thought to be an animal with intelligence equal to or greater than the human,tested the birds’ tool-using abilities.,65.119,0,"image,is,too,b",87,25,7,14,74,18,25,35,7,12,41,80,10,15,96,13,,IM_0pPjBTig9nlz01M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
